iso_code,continent,location,AQI
ARE,Asia,United Arab Emirates,151
EGY,Africa,Egypt,67
LBN,Asia,Lebanon,
TUR,Asia,Turkey,102
LBY,Africa,Libya,
QAT,Asia,Qatar,104
SAU,Asia,Saudi Arabia,122
JOR,Asia,Jordan,24
USA,North America,United States,59
KWT,Asia,Kuwait,81
MNP,Oceania,Northern Mariana Islands,
