iso_code,continent,location,Obesity_rate
ZWE,Africa,Zimbabwe,15.5
MYS,Asia,Malaysia,15.6
CHE,Europe,Switzerland,15.6
SWZ,Africa,Swaziland,16.5
KGZ,Asia,Kyrgyzstan,16.6
 , ,Lesotho,16.6
UZB,Asia,Uzbekistan,16.6
 , ,Yemen,17.1
 , ,Namibia,17.2
BIH,Europe,Bosnia and Herzegovina,17.9
TTO,North America,Trinidad and Tobago,18.6
MDA,Europe,Moldova,18.9
ATG,North America,Antigua and Barbuda,18.9
BWA,Africa,Botswana,18.9
PER,South America,Peru,19.47
 , ,Saint Lucia,19.7
DNK,Europe,Denmark,19.7
ECU,South America,Ecuador,19.9
AZE,Asia,Azerbaijan,19.9
ITA,Europe,Italy,19.9
AUS,Oceania,Australia,20.1
GUY,South America,Guyana,20.2
ARM,Asia,Armenia,20.2
BOL,South America,Bolivia,20.2
SVN,Europe,Slovenia,20.2
PRY,South America,Paraguay,20.3
NLD,Europe,Netherlands,20.4
SVK,Europe,Slovakia,20.5
SWE,Europe,Sweden,20.6
 , ,Mongolia,20.6
PRT,Europe,Portugal,20.8
KAZ,Asia,Kazakhstan,21
EST,Europe,Estonia,21.2
GTM,North America,Guatemala,21.2
 , ,Papua New Guinea,21.3
 , ,Grenada,21.3
HND,North America,Honduras,21.4
SRB,Europe,Serbia,21.5
FRA,Europe,France,21.6
GEO,Asia,Georgia,21.7
ALB,Europe,Albania,21.7
CYP,Europe,Cyprus,21.8
ISL,Europe,Iceland,21.9
BEL,Europe,Belgium,22.1
BRA,South America,Brazil,22.1
FIN,Europe,Finland,22.2
COL,South America,Colombia,22.3
DEU,Europe,Germany,22.3
ROU,Europe,Romania,22.5
LUX,Europe,Luxembourg,22.6
HTI,North America,Haiti,22.7
PAN,North America,Panama,22.7
 , ,Saint Kitts and Nevis,22.9
NOR,Europe,Norway,23.1
POL,Europe,Poland,23.1
RUS,Europe,Russia,23.1
BRB,North America,Barbados,23.1
MNE,Europe,Montenegro,23.3
LVA,Europe,Latvia,23.6
NIC,North America,Nicaragua,23.7
 , ,Saint Vincent and the Grenadines,23.7
ESP,Europe,Spain,23.8
UKR,Europe,Ukraine,24.1
BLZ,North America,Belize,24.1
HRV,Europe,Croatia,24.4
BLR,Europe,Belarus,24.5
SLV,North America,El Salvador,24.6
CUB,North America,Cuba,24.6
JAM,North America,Jamaica,24.7
GRC,Europe,Greece,24.9
BGR,Europe,Bulgaria,25
IRL,Europe,Ireland,25.3
VEN,South America,Venezuela,25.6
AND,Europe,Andorra,25.6
CRI,North America,Costa Rica,25.7
IRN,Asia,Iran,25.8
CZE,Europe,Czech Republic,26
MAR,Africa,Morocco,26.1
ISR,Asia,Israel,26.1
LTU,Europe,Lithuania,26.3
SUR,South America,Suriname,26.4
HUN,Europe,Hungary,26.4
TUN,Africa,Tunisia,26.9
OMN,Asia,Oman,27
DZA,Africa,Algeria,27.4
DOM,North America,Dominican Republic,27.6
GBR,Europe,United Kingdom,27.8
 , ,Dominica,27.9
URY,South America,Uruguay,27.9
CHL,South America,Chile,28
ARG,South America,Argentina,28.3
ZAF,Africa,South Africa,28.3
MLT,Europe,Malta,28.9
MEX,North America,Mexico,28.9
AUT,Europe,Austria,29
CAN,North America,Canada,29.4
BHR,Asia,Bahrain,29.8
 , ,Fiji,30.2
IRQ,Asia,Iraq,30.4
NZL,Oceania,New Zealand,30.8
BHS,North America,Bahamas,31.6
ARE,Asia,United Arab Emirates,31.7
EGY,Africa,Egypt,32
LBN,Asia,Lebanon,32
TUR,Asia,Turkey,32.1
LBY,Africa,Libya,32.5
QAT,Asia,Qatar,35.1
SAU,Asia,Saudi Arabia,35.4
JOR,Asia,Jordan,35.5
USA,North America,United States,36.2
KWT,Asia,Kuwait,37.9
MNP,Oceania,Northern Mariana Islands,52.9
